,id,img,label,text,split,text_idx,pseudo_text_idx,pseudo_img_idx,gold_pc,gold_attack,pc,attack,disability_gold_pc,nationality_gold_pc,pc_empty_gold_pc,race_gold_pc,religion_gold_pc,sex_gold_pc,attack_empty_gold_attack,contempt_gold_attack,dehumanizing_gold_attack,exclusion_gold_attack,inciting_violence_gold_attack,inferiority_gold_attack,mocking_gold_attack,slurs_gold_attack,disability_pc,nationality_pc,pc_empty_pc,race_pc,religion_pc,sex_pc,attack_empty_attack,contempt_attack,dehumanizing_attack,exclusion_attack,inciting_violence_attack,inferiority_attack,mocking_attack,slurs_attack,caption
0,42953,img/42953.png,0,its their character not their color that matters,train,0,4901,0,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,a portrait of a man and a portrait of a man with a bald head
1,23058,img/23058.png,0,don't be afraid to love again everyone is not like your ex,train,1,3620,3486,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,a bride and groom kissing in front of the ocean
2,13894,img/13894.png,0,putting bows on your pet,train,2,0,3956,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,two pictures of a gray cat wearing a red bow
3,37408,img/37408.png,0,i love everything and everybody! except for squirrels i hate squirrels,train,3,4451,4313,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,two pictures of a dog looking at the camera and a dog looking at the camera
4,82403,img/82403.png,0,"everybody loves chocolate chip cookies, even hitler",train,4,5609,1,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,a black and white photo of a man in a suit and tie
5,16952,img/16952.png,0,go sports! do the thing! win the points!,train,5,4635,2,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,a basketball player sitting on the court with his team
6,76932,img/76932.png,0,fine you're right. now can we fucking drop it?,train,6,3350,3,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,a couple of lions standing next to each other in a field
7,70914,img/70914.png,1,tattoos are bad for your health i know 5 million people that had tattoos and they all died,train,7,1,5321,['religion'],['mocking'],['religion'],['mocking'],0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,a woman with her arms over her head with tattoos on her arms and shoulders
8,2973,img/02973.png,0,how long can i run? till the chain tightens,train,8,2,3872,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,a dog on a leash with its tongue out
9,58306,img/58306.png,0,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored",train,9,3,1835,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,an image of a woman talking with an american flag
10,79351,img/79351.png,1,jew mad? get fuhrerious!,train,10,5200,4,['religion'],['mocking'],['religion'],['mocking'],0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,a black and white photo of a man with a mustache
11,34096,img/34096.png,0,"removes polish with chemicals, nobody bats an eye",train,11,5925,5756,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,a bunch of cosmetics and other items on a yellow table
12,25489,img/25489.png,1,brother... a day without a blast is a day wasted,train,12,3794,3679,['religion'],['dehumanizing'],['religion'],['dehumanizing'],0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,a man with a white turban talking to a microphone
13,19324,img/19324.png,0,when you're the only dog left at the dog shelter and the black family wants to adopt you,train,13,4,6963,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,a family sitting on the floor with their dog
14,79346,img/79346.png,0,voting for hillary is like letting casey anthony watch your kids because she's not guilty,train,14,5,5,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,a picture of a woman laughing and a picture of a woman with her mouth open
15,13426,img/13426.png,0,they will soon be free,train,15,5173,6,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,two women walking in a parade holding a rainbow flag
